Category,Synonym,Matched CUI,Canonical Name,Keyword
Glucose,glucose measurement,C0202046,"glucose measurement, random",glucose
Glucose,glucose measurement,C0202048,glucose measurement by monitoring device,glucose
Glucose,glucose measurement,C0337438,glucose measurement,glucose
Glucose,glucose measurement,C0392201,blood glucose measurement,blood sugar
Glucose,glucose measurement,C0428549,fluid sample glucose measurement,glucose
Glucose,glucose measurement,C0428567,random blood glucose measurement,blood glucose
Glucose,glucose measurement,C0428568,fasting blood glucose measurement,blood sugar
Glucose,glucose measurement,C0428569,post-prandial blood glucose measurement,blood sugar
Glucose,glucose measurement,C0457578,capillary blood glucose measurement,blood glucose
Glucose,glucose measurement,C0522820,"insulin tolerance panel, for acth insufficiency, including cortisol and glucose measurements",glucose
Glucose,glucose measurement,C0523657,"glucose measurement, tolbutamide tolerance test",glucose
Glucose,glucose measurement,C0523658,"glucose measurement, quantitative",glucose
Glucose,glucose measurement,C0523659,"glucose measurement, glucose tolerance test, each additional beyond 3 specimens",glucose
Glucose,glucose measurement,C0523660,"glucose measurement, post glucose dose",glucose
Glucose,glucose measurement,C0583333,serum random glucose measurement,glucose
Glucose,glucose measurement,C0583334,serum fasting glucose measurement,glucose
Glucose,glucose measurement,C0583335,serum 2-hr post-prandial glucose measurement,glucose
Glucose,glucose measurement,C0583512,plasma random glucose measurement,glucose
Glucose,glucose measurement,C0583513,plasma fasting glucose measurement,glucose
Glucose,glucose measurement,C0583514,plasma 2-hr post-prandial glucose measurement,glucose
Glucose,glucose measurement,C0587181,"glucose measurement, 2 hour post prandial",blood sugar
Glucose,glucose measurement,C0587359,test strip blood glucose measurement,blood sugar
Glucose,glucose measurement,C1254482,chem-7 glucose measurement,glucose
Glucose,glucose measurement,C1278095,30 minute blood glucose measurement,blood glucose
Glucose,glucose measurement,C1278096,60 minute blood glucose measurement,blood glucose
Glucose,glucose measurement,C1278097,90 minute blood glucose measurement,blood glucose
Glucose,glucose measurement,C1278098,120 minute blood glucose measurement,blood glucose
Glucose,glucose measurement,C1278099,150 minute blood glucose measurement,blood glucose
Glucose,glucose measurement,C1278150,30 minute serum glucose measurement,glucose
Glucose,glucose measurement,C1278151,60 minute serum glucose measurement,glucose
Glucose,glucose measurement,C1278153,90 minute serum glucose measurement,glucose
Glucose,glucose measurement,C1278154,120 minute serum glucose measurement,glucose
Glucose,glucose measurement,C1278155,150 minute serum glucose measurement,glucose
Glucose,glucose measurement,C1278156,30 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C1278157,60 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C1278158,90 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C1278159,120 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C1278160,150 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C1446010,dialysis fluid glucose measurement,glucose
Glucose,glucose measurement,C1446182,ascitic fluid glucose measurement,glucose
Glucose,glucose measurement,C2584700,300 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C2585037,240 minute plasma glucose measurement,glucose
Glucose,glucose measurement,C2732668,"urea, electrolytes and glucose measurement",glucose
Glucose,glucose measurement,C5235480,plasma equivalent glucose measurement,glucose
Glucose,glucose measurement,C5447171,whole blood equivalent glucose measurement,glucose
Glucose,glucose measurement,C5451863,glucose measurements in range/total glucose measurements,glucose
Glucose,glucose measurement,C5452326,glucose measurements in range/total glucose measurements:nfr:rptperiod:interstitial fluid:qn:calculated,glucose
Glucose,glucose measurement,C5453784,glucose measurements in range,glucose
Glucose,glucose measurement,C5453876,total glucose measurements,glucose
Glucose,glucose measurement,C5454324,glucose measurements in range/total glucose measurements &#x7c; interstitial fluid &#x7c; chemistry - non-challenge,glucose
FINGERSTICK,blood sugar,C0421254,blood sugar charts,blood sugar
FINGERSTICK,blood sugar,C0428564,lunch time blood sugar measurement,blood sugar
FINGERSTICK,blood sugar,C0428565,supper time blood sugar measurement,blood sugar
FINGERSTICK,blood sugar,C0428566,bedtime blood sugar measurement,blood sugar
FINGERSTICK,blood sugar,C0580237,random blood sugar normal,blood sugar
FINGERSTICK,blood sugar,C0580400,random blood sugar raised,blood sugar
FINGERSTICK,blood sugar,C0580401,random blood sugar low,blood sugar
FINGERSTICK,blood sugar,C1261430,fasting blood sugar result,blood sugar
FINGERSTICK,blood sugar,C1261431,lunch time blood sugar level result,blood sugar
FINGERSTICK,blood sugar,C1261432,supper time blood sugar level result,blood sugar
FINGERSTICK,blood sugar,C1261433,bedtime blood sugar level result,blood sugar
FINGERSTICK,blood sugar,C1304762,2 hours post-food blood sugar level result,blood sugar
FINGERSTICK,blood sugar,C1304780,dipstick blood sugar level result,blood sugar
FINGERSTICK,blood sugar,C1318329,post-prandial blood sugar result,blood sugar
FINGERSTICK,blood sugar,C2756258,glucagon emergency kit for low blood sugar,blood sugar
FINGERSTICK,blood sugar,C2825162,fasting blood sugar measurement,blood sugar
FINGERSTICK,blood sugar,C3176196,are you now taking diabetic pills to lower your blood sugar:find:pt:^patient:ord:phenx,blood sugar
FINGERSTICK,blood sugar,C3176197,are you now taking diabetic pills to lower your blood sugar,blood sugar
FINGERSTICK,blood sugar,C3825243,blood sugar monitoring,blood sugar
FINGERSTICK,blood sugar,C3827342,have trouble controlling blood sugar,blood sugar
FINGERSTICK,blood sugar,C3843079,diabetes or high blood sugar,blood sugar
FINGERSTICK,blood sugar,C4019565,"tribasic calcium phosphate 12 [hp_x] in 29.6 ml / carpinus betulus flower 12 [hp_x] in 29.6 ml / ferrosoferric phosphate 12 [hp_x] in 29.6 ml / potassium phosphate, dibasic 6 [hp_x] in 29.6 ml / sodium chloride 6 [hp_x] in 29.6 ml / sodium sulfate 6 [hp_x] in 29.6 ml / olea europaea flower 5 [hp_x] in 29.6 ml / silicon dioxide 12 [hp_x] in 29.6 ml / sinapis arvensis flowering/fruiting top 5 [hp_x] in 29.6 ml oral spray [blood sugar]",blood sugar
FINGERSTICK,FBG,C2722783,feeding bag universal fbg#1000,FBG
FINGERSTICK,FBG,C2771624,fergusobia sp. fbg e. obliqua,FBG
FINGERSTICK,FBG,C4112057,cystobasidium sp. 920 fbg,FBG
FINGERSTICK,FBG,C4112058,cystobasidium sp. 586 fbg,FBG
FINGERSTICK,FBG,C4112059,cystobasidium sp. 589 fbg,FBG
FINGERSTICK,FBG,C4114822,dothideomycetes sp. 785 fbg,FBG
FINGERSTICK,FBG,C4130976,cryptococcus sp. 734 fbg,FBG
FINGERSTICK,FBG,C4130977,exophiala sp. 821 fbg,FBG
FINGERSTICK,FBG,C4130998,rhodotorula sp. 826 fbg,FBG
FINGERSTICK,FBG,C4130999,exophiala sp. 801 fbg,FBG
FINGERSTICK,FBG,C4131090,bjerkandera sp. 544 fbg,FBG
FINGERSTICK,FBG,C4131100,hypocreales sp. 853 fbg,FBG
FINGERSTICK,FBG,C4131107,penicillium sp. 568 fbg,FBG
FINGERSTICK,FBG,C4131109,hypocreales sp. 758 fbg,FBG
FINGERSTICK,FBG,C4430562,kentrophoros sp. fbg,FBG
FINGERSTICK,FBG,C4782607,candidatus kentron sp. fbg,FBG
FINGERSTICK,BG,C0081773,bg 104,BG
FINGERSTICK,BG,C0106201,bg 8865,BG
FINGERSTICK,BG,C0210056,bg 8967,BG
FINGERSTICK,BG,C0255472,acid leather red bg,BG
FINGERSTICK,BG,C0255673,bg ii toxin,BG
FINGERSTICK,BG,C0255674,bg iii toxin,BG
FINGERSTICK,BG,C0285843,bg 5p,BG
FINGERSTICK,BG,C0313639,bg and related antigens,BG
FINGERSTICK,BG,C0313640,blood group antigen bg^a^,BG
FINGERSTICK,BG,C0313737,bg and/or related antibody,BG
FINGERSTICK,BG,C0313738,blood group antibody bg^a^,BG
FINGERSTICK,BG,C0313739,blood group antibody bg^b^,BG
FINGERSTICK,BG,C0313740,blood group antibody bg^c^,BG
FINGERSTICK,BG,C0522971,bg^a^ blood group typing,BG
FINGERSTICK,BG,C0523070,bg^a^ blood group antibody identification,BG
FINGERSTICK,BG,C0532052,bg 325,BG
FINGERSTICK,BG,C0532053,bg 374,BG
FINGERSTICK,BG,C0612213,bg 25,BG
FINGERSTICK,BG,C0612215,bg 26,BG
FINGERSTICK,BG,C0612217,bg 9,BG
FINGERSTICK,BG,C0725598,chemstrip bg diary,BG
FINGERSTICK,BG,C0725599,chemstrip bg kit visual only,BG
FINGERSTICK,BG,C0725600,chemstrip bg visual only,BG
FINGERSTICK,BG,C0728423,tracer bg test strip,BG
FINGERSTICK,BG,C0763139,bg 9015,BG
FINGERSTICK,BG,C0865160,hyper-tbg-nemia,hyper
FINGERSTICK,BG,C0865161,hypo-tbg-nemia,hypo
FINGERSTICK,BG,C0975504,chemstrip bg accu-chek/visual test strip,BG
FINGERSTICK,BG,C1016247,mastodon intestinal bacterium 18.37.bg.2,BG
FINGERSTICK,BG,C1037219,centaurium cf. barrelieri mainz bg 124-562,BG
FINGERSTICK,BG,C1050202,phomopsis sp. bg-96,BG
FINGERSTICK,BG,C1070928,glomus sp. bg,BG
FINGERSTICK,BG,C1143127,bg-289,BG
FINGERSTICK,BG,C1143128,bg-203,BG
FINGERSTICK,BG,C1143129,bg-237,BG
FINGERSTICK,BG,C1292333,antigen in bg blood group series,BG
FINGERSTICK,BG,C1292364,antibody to antigen in bg blood group series,BG
FINGERSTICK,BG,C1314777,bg 9719,BG
FINGERSTICK,BG,C1468666,blennius sp. bg-2003,BG
FINGERSTICK,BG,C1501438,pythium sp. bg12,BG
FINGERSTICK,BG,C1531168,bg 958,BG
FINGERSTICK,BG,C1666260,bg 9928,BG
FINGERSTICK,BG,C1677668,otacanthus sp. albach ex bg bonn,BG
FINGERSTICK,BG,C1681886,bg 00012,BG
FINGERSTICK,BG,C1685092,bg 12 compound,BG
FINGERSTICK,BG,C1825836,acsbg1 gene,BG
FINGERSTICK,BG,C1889166,lepraria sp. bg,BG
FINGERSTICK,BG,C1892816,bacillus sp. bg.sph.051,BG
FINGERSTICK,BG,C1892817,erythrobacter sp. bg.sph.053,BG
FINGERSTICK,BG,C1892818,pseudomonas sp. bg.sph.054,BG
FINGERSTICK,BG,C1892819,ralstonia sp. bg.sph.056,BG
FINGERSTICK,BG,C1892820,serratia sp. bg.sph.058,BG
FINGERSTICK,BG,C1892821,sphingomonas sp. bg.sph.059,BG
FINGERSTICK,BG,C1892822,pseudomonas sp. bg.sph.060,BG
FINGERSTICK,BG,C1892823,pseudomonas sp. bg.sph.061,BG
FINGERSTICK,BG,C1892826,pseudomonas sp. bg.sph.065,BG
FINGERSTICK,BG,C1892833,soil beta proteobacterium bg.sph.062,BG
FINGERSTICK,BG,C1892836,soil phyllobacteriaceae bacterium bg.sph.052,BG
FINGERSTICK,BG,C1892837,oxalobacteraceae bacterium bg.sph.055,BG
FINGERSTICK,BG,C1892838,soil xanthomonadaceae bacterium bg.sph.057,BG
FINGERSTICK,BG,C1931590,kodamaea sp. bg-3,BG
FINGERSTICK,BG,C1955182,bg group,BG
FINGERSTICK,BG,C1966578,"hyperform set, 2-chamber bg",BG
FINGERSTICK,BG,C2276056,dienia sp. hamburg bg 602 b 337,BG
FINGERSTICK,BG,C2276057,cleisostoma sp. heidelberg bg 123029,BG
FINGERSTICK,BG,C2276062,acriopsis sp. wien bg,BG
FINGERSTICK,BG,C2276065,campylocentrum sp. heidelberg bg 122375,BG
FINGERSTICK,BG,C2276068,cephalantheropsis sp. heidelberg bg 125239,BG
FINGERSTICK,BG,C2276070,cyclopogon sp. 1 hannover bg,BG
FINGERSTICK,BG,C2276081,jumellea sp. heidelberg bg 122887,BG
FINGERSTICK,BG,C2276084,oncidium sp. heidelberg bg 124450,BG
FINGERSTICK,BG,C2276085,polystachya sp. heidelberg bg s.n.,BG
FINGERSTICK,BG,C2276086,oberonia sp. heidelberg bg 120006,BG
FINGERSTICK,BG,C2276087,octomeria sp. heidelberg bg 125079,BG
FINGERSTICK,BG,C2276088,epidendrum sp. heidelberg bg 101762,BG
FINGERSTICK,BG,C2276093,ponera sp. heidelberg bg 121987,BG
FINGERSTICK,BG,C2276097,rangaeris sp. heidelberg bg 121559,BG
FINGERSTICK,BG,C2276099,sarcochilus sp. heidelberg bg 122933,BG
FINGERSTICK,BG,C2276101,sauroglossum sp. hannover bg,BG
FINGERSTICK,BG,C2276106,telipogon sp. heidelberg bg 108219,BG
FINGERSTICK,BG,C2297182,alchemilla cf. subnivalis gehrke bg-af 362,BG
FINGERSTICK,BG,C2302342,kirramyces sp. bg-2007a,BG
FINGERSTICK,BG,C2632021,sarcoglottis sp. heidelberg bg 120137,BG
FINGERSTICK,BG,C2632814,epimedium sp. bg-2008a,BG
FINGERSTICK,BG,C2632815,epimedium sp. bg-2008b,BG
FINGERSTICK,BG,C2649223,bacillus sp. bg-b1,BG
FINGERSTICK,BG,C2649224,bacillus sp. bg-b109,BG
FINGERSTICK,BG,C2649225,bacillus sp. bg-b18,BG
FINGERSTICK,BG,C2649226,bacillus sp. bg-b27,BG
FINGERSTICK,BG,C2649227,bacillus sp. bg-b29,BG
FINGERSTICK,BG,C2649234,lysinibacillus sp. bg-b112,BG
FINGERSTICK,BG,C2655217,diplommatina sp. bg,BG
FINGERSTICK,BG,C2658669,clostridium sp. bg-c122,BG
FINGERSTICK,BG,C2658670,clostridium sp. bg-c124,BG
FINGERSTICK,BG,C2658671,clostridium sp. bg-c130,BG
FINGERSTICK,BG,C2658672,clostridium sp. bg-c131,BG
FINGERSTICK,BG,C2658673,clostridium sp. bg-c151,BG
FINGERSTICK,BG,C2658674,clostridium sp. bg-c36,BG
FINGERSTICK,BG,C2658675,clostridium sp. bg-c4,BG
FINGERSTICK,BG,C2658676,clostridium sp. bg-c51,BG
FINGERSTICK,BG,C2658677,clostridium sp. bg-c66,BG
FINGERSTICK,BG,C2658678,clostridium sp. bg-c8,BG
FINGERSTICK,BG,C2658679,clostridium sp. bg-c9,BG
FINGERSTICK,BG,C2666085,epimedium sp. bg-2009,BG
FINGERSTICK,BG,C2722783,feeding bag universal fbg#1000,FBG
FINGERSTICK,BG,C2736907,bg^a,BG
FINGERSTICK,BG,C2761242,carex aff. petitiana bg-2008,BG
FINGERSTICK,BG,C2771624,fergusobia sp. fbg e. obliqua,FBG
FINGERSTICK,BG,C2784895,fissistigma cf. acuminatissimum bg-2009,BG
FINGERSTICK,BG,C2820024,bacillus sp. bg-cs10,BG
FINGERSTICK,BG,C2976256,bg-cy3-cy5,BG
FINGERSTICK,BG,C3055168,saccharothrix sp. bg,BG
FINGERSTICK,BG,C3069326,polystachya sp. heidelberg bg 120940,BG
FINGERSTICK,BG,C3084973,isophya cf. rhodopensis/leonorae bg-2010,BG
FINGERSTICK,BG,C3104816,isophya cf. rhodopensis/longicaudata bg-2010,BG
FINGERSTICK,BG,C3132264,bacillus sp. bg-1,BG
FINGERSTICK,BG,C3132265,bacillus sp. bg-2,BG
FINGERSTICK,BG,C3132266,bacillus sp. bg-3,BG
FINGERSTICK,BG,C3132267,bacillus sp. bg-4,BG
FINGERSTICK,BG,C3132268,bacillus sp. bg-5,BG
FINGERSTICK,BG,C3132269,microbacterium sp. bg-7,BG
FINGERSTICK,BG,C3132270,micrococcus sp. bg-6,BG
FINGERSTICK,BG,C3132271,pseudomonas sp. bg-8,BG
FINGERSTICK,BG,C3132272,pseudomonas sp. bg-9,BG
FINGERSTICK,BG,C3273012,bg-9924,BG
FINGERSTICK,BG,C3327474,picobirnavirus horse/bg-eq-3/india/2010,BG
FINGERSTICK,BG,C3335359,platychrysis sp. bg-2011,BG
FINGERSTICK,BG,C3357239,chryseobacterium sp. mg-2011-77-bg,BG
FINGERSTICK,BG,C3390446,picobirnavirus pig/bg-por-2/india/2010,BG
FINGERSTICK,BG,C3413182,thioautotrophic extracellular symbiont bg-a of benthomodiolus geikotsucola,BG
FINGERSTICK,BG,C3413183,heterotrophic extracellular symbiont bg-c1 of benthomodiolus geikotsucola,BG
FINGERSTICK,BG,C3413184,heterotrophic extracellular symbiont bg-c2 of benthomodiolus geikotsucola,BG
FINGERSTICK,BG,C3416169,antirhea sp. bg 573,BG
FINGERSTICK,BG,C3727439,flavobacterium sp. s17.05.bg.w.gill.n,BG
FINGERSTICK,BG,C3727487,flavobacterium sp. s72.05.bg.w.kidney,BG
FINGERSTICK,BG,C3727497,flavobacterium sp. t1.05.bg.w.gill.n,BG
FINGERSTICK,BG,C3727559,flavobacterium sp. t1l.05.bg.w.gill.n,BG
FINGERSTICK,BG,C3746357,comatella sp. bg-2013,BG
FINGERSTICK,BG,C3746358,tropiometra sp. bg-2013,BG
FINGERSTICK,BG,C3746781,cenometra sp. bg-2013,BG
FINGERSTICK,BG,C3770677,acinetobacter sp. bg-9-r4,BG
FINGERSTICK,BG,C3770678,alteromonas sp. bg-6-r2,BG
FINGERSTICK,BG,C3770679,alteromonas sp. bg-7-e3,BG
FINGERSTICK,BG,C3770680,aquimarina sp. bg-3-r2,BG
FINGERSTICK,BG,C3770681,bacillus sp. bg-6-e4,BG
FINGERSTICK,BG,C3770682,bacillus sp. bg-7-e4,BG
FINGERSTICK,BG,C3770683,bacillus sp. bg-7-r5,BG
FINGERSTICK,BG,C3770684,bacillus sp. bg-8-r2,BG
FINGERSTICK,BG,C3770695,chromohalobacter sp. bg-1-r4,BG
FINGERSTICK,BG,C3770696,cobetia sp. bg-6-e1,BG
FINGERSTICK,BG,C3770697,demequina sp. bg-7-r7,BG
FINGERSTICK,BG,C3770698,exiguobacterium sp. bg-6-e3,BG
FINGERSTICK,BG,C3770699,gramella sp. bg-4-r5,BG
FINGERSTICK,BG,C3770701,kushneria sp. bg-3-r5,BG
FINGERSTICK,BG,C3770702,labrenzia sp. bg-3-e2,BG
FINGERSTICK,BG,C3770703,leeuwenhoekiella sp. bg-9-e5,BG
FINGERSTICK,BG,C3770704,marinobacter sp. bg-1-r5,BG
FINGERSTICK,BG,C3770705,marinomonas sp. bg-10-e1,BG
FINGERSTICK,BG,C3770706,marinomonas sp. bg-2-r2,BG
FINGERSTICK,BG,C3770707,marinomonas sp. bg-4-e2,BG
FINGERSTICK,BG,C3770711,mesonia sp. bg-4-e6,BG
FINGERSTICK,BG,C3770712,micrococcus sp. bg-9-r5,BG
FINGERSTICK,BG,C3770713,polaribacter sp. bg-1-r2,BG
FINGERSTICK,BG,C3770714,polaribacter sp. bg-2-e3,BG
FINGERSTICK,BG,C3770715,pseudoalteromonas sp. bg-1-e1,BG
FINGERSTICK,BG,C3770716,pseudoalteromonas sp. bg-10-r2,BG
FINGERSTICK,BG,C3770717,pseudoalteromonas sp. bg-7-r2,BG
FINGERSTICK,BG,C3770718,pseudoalteromonas sp. bg-9-e1,BG
FINGERSTICK,BG,C3770719,pseudomonas sp. bg-2-r4,BG
FINGERSTICK,BG,C3770720,pseudomonas sp. bg-4-e5,BG
FINGERSTICK,BG,C3770722,psychrobacter sp. bg-4-r2,BG
FINGERSTICK,BG,C3770726,rhodovulum sp. bg-4-r8,BG
FINGERSTICK,BG,C3770728,sagittula sp. bg-9-e2,BG
FINGERSTICK,BG,C3770730,shewanella sp. bg-2-e1,BG
FINGERSTICK,BG,C3770731,tenacibaculum sp. bg-4-e3,BG
FINGERSTICK,BG,C3770732,thalassospira sp. bg-8-e3,BG
FINGERSTICK,BG,C3770733,vibrio sp. bg-1-e3,BG
FINGERSTICK,BG,C3770734,vibrio sp. bg-10-e3,BG
FINGERSTICK,BG,C3770735,vibrio sp. bg-3-e4,BG
FINGERSTICK,BG,C3770736,vibrio sp. bg-5-r4,BG
FINGERSTICK,BG,C3770737,vibrio sp. bg-8-e5,BG
FINGERSTICK,BG,C3772285,santessoniella sp. anderson 942 (bg),BG
FINGERSTICK,BG,C3772293,parmeliella cf. thysanota galloway 847 (bg),BG
FINGERSTICK,BG,C3782776,cycloclasticus sp. bg-2,BG
FINGERSTICK,BG,C3802812,algoriphagus sp. bg-10-r1,BG
FINGERSTICK,BG,C3802813,citreicella sp. bg-5-r6,BG
FINGERSTICK,BG,C3802815,zunongwangia sp. bg-8-r4,BG
FINGERSTICK,BG,C3932399,leptolyngbya sp. l21-bg-2,BG
FINGERSTICK,BG,C3932400,synechococcus sp. l21-bg-1,BG
FINGERSTICK,BG,C3938374,exiguobacterium sp. bg-1-m-5,BG
FINGERSTICK,BG,C3938375,exiguobacterium sp. bg-4-x-3,BG
FINGERSTICK,BG,C3938376,exiguobacterium sp. bg-5-r-1,BG
FINGERSTICK,BG,C3938377,exiguobacterium sp. bg-9-j-1,BG
FINGERSTICK,BG,C3982954,ramalodium sp. bg_l87074,BG
FINGERSTICK,BG,C3987698,halomonas sp. bg-3a,BG
FINGERSTICK,BG,C3987699,lutibacterium sp. bg-4a,BG
FINGERSTICK,BG,C4009172,thalassospira sp. bg-3b,BG
FINGERSTICK,BG,C4044036,bg-34 compound,BG
FINGERSTICK,BG,C4112057,cystobasidium sp. 920 fbg,FBG
FINGERSTICK,BG,C4112058,cystobasidium sp. 586 fbg,FBG
FINGERSTICK,BG,C4112059,cystobasidium sp. 589 fbg,FBG
FINGERSTICK,BG,C4114822,dothideomycetes sp. 785 fbg,FBG
FINGERSTICK,BG,C4130976,cryptococcus sp. 734 fbg,FBG
FINGERSTICK,BG,C4130977,exophiala sp. 821 fbg,FBG
FINGERSTICK,BG,C4130998,rhodotorula sp. 826 fbg,FBG
FINGERSTICK,BG,C4130999,exophiala sp. 801 fbg,FBG
FINGERSTICK,BG,C4131090,bjerkandera sp. 544 fbg,FBG
FINGERSTICK,BG,C4131100,hypocreales sp. 853 fbg,FBG
FINGERSTICK,BG,C4131107,penicillium sp. 568 fbg,FBG
FINGERSTICK,BG,C4131109,hypocreales sp. 758 fbg,FBG
FINGERSTICK,BG,C4138711,santessoniella sp. neily 942 (bg),BG
FINGERSTICK,BG,C4144455,squamiana sp. bg-2015,BG
FINGERSTICK,BG,C4153145,platycleis sp. bg-2015,BG
FINGERSTICK,BG,C4181737,leptophyes sp. bg-2015,BG
FINGERSTICK,BG,C4181738,phaneropteridae sp. 2 bg-2015,BG
FINGERSTICK,BG,C4181739,phaneropteridae sp. 1 bg-2015,BG
FINGERSTICK,BG,C4181741,isophya aff. sureyai bg-2015,BG
FINGERSTICK,BG,C4201836,colletotrichum sp. bg,BG
FINGERSTICK,BG,C4203413,desulfosporosinus sp. bg,BG
FINGERSTICK,BG,C4207040,ochromonas sp. bg-1,BG
FINGERSTICK,BG,C4279822,bg-323,BG
